Money: 30000 ActiveVehicle: combine position: 184,328
Dirt@600,200 state=0 crop=1
Dirt@632,200 state=0 crop=1
Dirt@664,200 state=0 crop=1
Dirt@696,200 state=0 crop=1
Dirt@728,200 state=0 crop=1
Dirt@760,200 state=0 crop=1
Dirt@792,200 state=0 crop=1
Dirt@824,200 state=0 crop=1
Dirt@856,200 state=0 crop=1
Dirt@888,200 state=0 crop=1
Dirt@920,200 state=0 crop=1
Dirt@952,200 state=0 crop=1
Dirt@984,200 state=0 crop=1
Dirt@1016,200 state=0 crop=1
Dirt@1048,200 state=0 crop=1
Dirt@1080,200 state=0 crop=1
Dirt@1112,200 state=0 crop=1
Dirt@1144,200 state=0 crop=1
Dirt@1176,200 state=0 crop=1
Dirt@1208,200 state=0 crop=1
Dirt@1240,200 state=0 crop=1
Dirt@1272,200 state=0 crop=1
Dirt@1304,200 state=0 crop=1
Dirt@1336,200 state=0 crop=1
Dirt@1368,200 state=0 crop=1
Dirt@1400,200 state=0 crop=1
Dirt@1432,200 state=0 crop=1
Dirt@1464,200 state=0 crop=1
Dirt@1496,200 state=0 crop=1
Dirt@1528,200 state=0 crop=1
Dirt@1560,200 state=0 crop=1
Dirt@1592,200 state=0 crop=1
Dirt@1624,200 state=0 crop=1
Dirt@1656,200 state=0 crop=1
Dirt@1688,200 state=0 crop=1
Dirt@1720,200 state=0 crop=1
Dirt@600,232 state=0 crop=1
Dirt@632,232 state=0 crop=1
Dirt@664,232 state=0 crop=1
Dirt@696,232 state=0 crop=1
Dirt@728,232 state=0 crop=1
Dirt@760,232 state=0 crop=1
Dirt@792,232 state=0 crop=1
Dirt@824,232 state=0 crop=1
Dirt@856,232 state=0 crop=1
Dirt@888,232 state=0 crop=1
Dirt@920,232 state=0 crop=1
Dirt@952,232 state=0 crop=1
Dirt@984,232 state=0 crop=1
Dirt@1016,232 state=0 crop=1
Dirt@1048,232 state=0 crop=1
Dirt@1080,232 state=0 crop=1
Dirt@1112,232 state=0 crop=1
Dirt@1144,232 state=0 crop=1
Dirt@1176,232 state=0 crop=1
Dirt@1208,232 state=0 crop=1
Dirt@1240,232 state=0 crop=1
Dirt@1272,232 state=0 crop=1
Dirt@1304,232 state=0 crop=1
Dirt@1336,232 state=0 crop=1
Dirt@1368,232 state=0 crop=1
Dirt@1400,232 state=0 crop=1
Dirt@1432,232 state=0 crop=1
Dirt@1464,232 state=0 crop=1
Dirt@1496,232 state=0 crop=1
Dirt@1528,232 state=0 crop=1
Dirt@1560,232 state=0 crop=1
Dirt@1592,232 state=0 crop=1
Dirt@1624,232 state=0 crop=1
Dirt@1656,232 state=0 crop=1
Dirt@1688,232 state=0 crop=1
Dirt@1720,232 state=0 crop=1
Dirt@600,264 state=0 crop=1
Dirt@632,264 state=0 crop=1
Dirt@664,264 state=0 crop=1
Dirt@696,264 state=0 crop=1
Dirt@728,264 state=0 crop=1
Dirt@760,264 state=0 crop=1
Dirt@792,264 state=0 crop=1
Dirt@824,264 state=0 crop=1
Dirt@856,264 state=0 crop=1
Dirt@888,264 state=0 crop=1
Dirt@920,264 state=0 crop=1
Dirt@952,264 state=0 crop=1
Dirt@984,264 state=0 crop=1
Dirt@1016,264 state=0 crop=1
Dirt@1048,264 state=0 crop=1
Dirt@1080,264 state=0 crop=1
Dirt@1112,264 state=0 crop=1
Dirt@1144,264 state=0 crop=1
Dirt@1176,264 state=0 crop=1
Dirt@1208,264 state=0 crop=1
Dirt@1240,264 state=0 crop=1
Dirt@1272,264 state=0 crop=1
Dirt@1304,264 state=0 crop=1
Dirt@1336,264 state=0 crop=1
Dirt@1368,264 state=0 crop=1
Dirt@1400,264 state=0 crop=1
Dirt@1432,264 state=0 crop=1
Dirt@1464,264 state=0 crop=1
Dirt@1496,264 state=0 crop=1
Dirt@1528,264 state=0 crop=1
Dirt@1560,264 state=0 crop=1
Dirt@1592,264 state=0 crop=1
Dirt@1624,264 state=0 crop=1
Dirt@1656,264 state=0 crop=1
Dirt@1688,264 state=0 crop=1
Dirt@1720,264 state=0 crop=1
Dirt@600,296 state=0 crop=1
Dirt@632,296 state=0 crop=1
Dirt@664,296 state=0 crop=1
Dirt@696,296 state=0 crop=1
Dirt@728,296 state=0 crop=1
Dirt@760,296 state=0 crop=1
Dirt@792,296 state=0 crop=1
Dirt@824,296 state=0 crop=1
Dirt@856,296 state=0 crop=1
Dirt@888,296 state=0 crop=1
Dirt@920,296 state=0 crop=1
Dirt@952,296 state=0 crop=1
Dirt@984,296 state=0 crop=1
Dirt@1016,296 state=0 crop=1
Dirt@1048,296 state=0 crop=1
Dirt@1080,296 state=0 crop=1
Dirt@1112,296 state=0 crop=1
Dirt@1144,296 state=0 crop=1
Dirt@1176,296 state=0 crop=1
Dirt@1208,296 state=0 crop=1
Dirt@1240,296 state=0 crop=1
Dirt@1272,296 state=0 crop=1
Dirt@1304,296 state=0 crop=1
Dirt@1336,296 state=0 crop=1
Dirt@1368,296 state=0 crop=1
Dirt@1400,296 state=0 crop=1
Dirt@1432,296 state=0 crop=1
Dirt@1464,296 state=0 crop=1
Dirt@1496,296 state=0 crop=1
Dirt@1528,296 state=0 crop=1
Dirt@1560,296 state=0 crop=1
Dirt@1592,296 state=0 crop=1
Dirt@1624,296 state=0 crop=1
Dirt@1656,296 state=0 crop=1
Dirt@1688,296 state=0 crop=1
Dirt@1720,296 state=0 crop=1
Dirt@600,328 state=0 crop=1
Dirt@632,328 state=0 crop=1
Dirt@664,328 state=0 crop=1
Dirt@696,328 state=0 crop=1
Dirt@728,328 state=0 crop=1
Dirt@760,328 state=0 crop=1
Dirt@792,328 state=0 crop=1
Dirt@824,328 state=0 crop=1
Dirt@856,328 state=0 crop=1
Dirt@888,328 state=0 crop=1
Dirt@920,328 state=0 crop=1
Dirt@952,328 state=0 crop=1
Dirt@984,328 state=0 crop=1
Dirt@1016,328 state=0 crop=1
Dirt@1048,328 state=0 crop=1
Dirt@1080,328 state=0 crop=1
Dirt@1112,328 state=0 crop=1
Dirt@1144,328 state=0 crop=1
Dirt@1176,328 state=0 crop=1
Dirt@1208,328 state=0 crop=1
Dirt@1240,328 state=0 crop=1
Dirt@1272,328 state=0 crop=1
Dirt@1304,328 state=0 crop=1
Dirt@1336,328 state=0 crop=1
Dirt@1368,328 state=0 crop=1
Dirt@1400,328 state=0 crop=1
Dirt@1432,328 state=0 crop=1
Dirt@1464,328 state=0 crop=1
Dirt@1496,328 state=0 crop=1
Dirt@1528,328 state=0 crop=1
Dirt@1560,328 state=0 crop=1
Dirt@1592,328 state=0 crop=1
Dirt@1624,328 state=0 crop=1
Dirt@1656,328 state=0 crop=1
Dirt@1688,328 state=0 crop=1
Dirt@1720,328 state=0 crop=1
Dirt@600,360 state=0 crop=1
Dirt@632,360 state=0 crop=1
Dirt@664,360 state=0 crop=1
Dirt@696,360 state=0 crop=1
Dirt@728,360 state=0 crop=1
Dirt@760,360 state=0 crop=1
Dirt@792,360 state=0 crop=1
Dirt@824,360 state=0 crop=1
Dirt@856,360 state=0 crop=1
Dirt@888,360 state=0 crop=1
Dirt@920,360 state=0 crop=1
Dirt@952,360 state=0 crop=1
Dirt@984,360 state=0 crop=1
